1 2 3 4:8
2 3 4 13:7
2 3 4 5:8
1 3 4 14:7
1 3 4 6:8
1 2 4 15:7
1 2 4 7:8
1 2 3 16:7
1 2 3 8:8
1 2 3 13:7
2 3 4 9:6
1 3 4 13:7
3 4 13 14:6
3 4 6 13:8
2 4 13 15:6
2 4 7 13:7
2 3 4 16:7
2 3 13 16:6
2 3 4 14:7
2 3 8 13:8
1 2 3 5:8
1 3 4 5:8
2 3 4 8:8
3 4 5 14:8
2 3 4 6:8
3 4 5 6:9
2 4 5 15:7
2 4 5 7:8
2 3 5 16:8
2 3 5 8:9
1 2 4 14:7
1 3 4 10:6
1 4 14 15:6
1 4 7 14:8
1 3 14 16:6
1 3 4 15:7
1 3 8 14:7
1 2 4 6:8
1 3 4 7:8
1 4 6 15:8
1 4 6 7:9
1 3 6 16:7
1 3 6 8:8
1 2 3 15:7
1 2 4 11:6
1 2 15 16:6
1 2 4 16:7
1 2 8 15:8
1 2 3 7:8
1 2 4 8:8
1 2 7 16:8
1 2 7 8:9
1 2 3 12:6
1 2 4 13:7
2 3 9 13:6
1 3 13 14:6
1 3 6 13:8
1 2 13 15:6
1 2 7 13:8
1 2 3 14:7
1 2 3 9:7
1 3 4 9:7
3 4 9 14:5
3 4 6 9:7
2 3 4 12:7
2 4 9 15:5
2 3 4 10:7
2 4 7 9:7
2 3 9 16:5
2 3 8 9:7
3 4 9 13:6
1 4 13 15:6
1 4 7 13:7
1 3 4 16:7
1 3 13 16:6
1 3 8 13:7
2 3 13 14:6
1 4 13 14:6
3 4 10 13:5
4 13 14 15:5
4 7 13 14:7
3 4 13 16:6
3 13 14 16:5
3 4 14 15:6
3 8 13 14:7
2 3 6 13:7
1 4 6 13:8
3 4 5 13:8
3 4 7 13:7
4 6 13 15:7
4 6 7 13:8
3 4 6 16:7
3 6 13 16:7
3 4 6 14:8
3 6 8 13:8
1 3 13 15:5
2 4 11 13:5
2 4 14 16:5
2 13 15 16:5
2 8 13 15:7
1 3 7 13:6
2 4 6 13:7
2 4 8 13:7
2 4 7 16:7
2 7 13 16:7
2 4 7 14:8
2 7 8 13:8
3 4 14 16:6
2 4 15 16:6
2 3 4 15:7
2 3 12 16:6
1 2 13 16:6
2 3 15 16:6
2 3 12 13:5
3 4 10 14:6
2 4 14 15:6
2 3 14 16:6
2 3 8 14:8
1 2 8 13:8
3 4 8 13:7
